Num HD,MSE
1,0.03880001157238546
2,0.033319702357429204
3,0.03802060412095659
4,0.02382537731295007
5,0.05661709232616429
6,0.036791102462332116
7,0.03405909795212702
8,0.04265538604833953
9,0.0175361900190343
10,0.024486738380268398
11,0.021281693195427963
12,0.056450261023310584
13,0.03806824579749936
14,0.027018246580667954
15,0.025709815464927795
16,0.02252646107092939
17,0.020310385780393594
18,0.023348718494126453
19,0.0229654541204167
20,0.0271091388877323
21,0.03596925562895858
22,0.019535568646961675
23,0.03071452907002965
24,0.029615667305716062
25,0.04536675600934488
26,0.017000152764103407
27,0.03868344091877018
28,0.0352708671034398
29,0.037445047279417484
30,0.025221375846980892
31,0.027154973910950966
32,0.017251767320790208
33,0.02679151010880845
34,0.02389262530812654
35,0.024718069705964022
36,0.020729957829142227
37,0.04690275972677654
38,0.029806377836670166
39,0.04143292259966067
40,0.020676220453518995
41,0.02807991834310748
42,0.02800531918366014
43,0.02109654755865838
44,0.021153210229323146
45,0.017305322484991954
46,0.01774123223672373
47,0.02563088391173809
48,0.02768580398655116
49,0.038640923901274576
50,0.028805099924234946
51,0.018330394487750153
52,0.02895149058869941
53,0.02383253594752654
54,0.03198615781851051
55,0.04010992927052132
56,0.03375510353698126
57,0.04710991615582036
58,0.021151812282051815
59,0.0188112473478669
60,0.018270735047431295
61,0.0407802881407148
62,0.02734227653689439
63,0.0199017561746264
64,0.022201227848053076
65,0.026767423731910503
66,0.0221983276023353
67,0.020162763111383337
68,0.02930006120291541
69,0.025567955990948566
70,0.023797398909071985
